signer,volume,volume_category
34UPZobhXgT4QXFYhqYnPb3wtcy5XjxyownvN9iJLJwz,89,Other
3XSi9EEp1BrXirxy9FZbktrRkJ7yUf7jinToih8g5q7E,89,Other
3m36drVrG2SgX4aknVAy3eDBM6LsKQYRKUwGfJaJEWbA,89,Other
3rSaRcJBSj9hcSJrng3dRvT6gjXBiNYxQUoHtWzPKK1h,89,Other
3s8xG5fxYhR8sCfoVtjEdEeEEdPzDGHEuM1JonkH3PPq,89,Other
3zsNk8YkDi9dCCMJfLMw49SnYbWgzPU37X16n3fyXZ5N,89,Other
41ryqLVsbV8DL3sXCUrHaEgTwLsW55bkwswHw86bQG8s,89,Other
42vy9nsQT3eASq9RJeMhtHmV66NeKaQxt3B1XXHdRDzN,89,Other
4Da31zcjLqwRHRc9TjW6QeFaf8EaeR65z5cQi7ZuLjpH,89,Other
4YKGEXvfyZAh9XbAJ6Jj4i2vu438zdaUt63Bh7YsiP8p,89,Other
4gV4ewWe4LiktbrJjVf3F4BPVexBm3M2BdanzJiKGHhz,89,Other
4keGS7sMFHbdKGmcBv7jd3C894jFvZb2PBLeFHwvsbLi,89,Other
4nXbeAAQYXoCvtbKdL8RfqD76oomq9j57X6i7bWUSksc,89,Other
4syjL81NwB99puci1hvcGv8t9Y4ic1B3h4rmknArFSq3,89,Other
4wRrRZ3k7HDcoqyLhaEHEjGahArN7wA2LGtguiyetaCU,89,Other
4zMJDyEVLgyfEq6gowSwcQgytSbQCscxQuPi9sm1XDyj,89,Other
59yCrGtR3hzupemaZYJmjty3BUEnkS8tGp52Mt4uTEK4,89,Other
5KMEHfnBzoMgKgLxFuzruuX5GwrS6mhTynYDsHdZGGuD,89,Other
5TxfZfKEcQwT6pbve46rYvzJLE8sq6cm3sWSbSfDckCG,89,Other
5fcDFeBVUAYkJRdAH5BizjWqZfeNHr9snnJJMKUXdqTf,89,Other
6KRGjfFPHvsy87F1u8JttWAgDkrtHzrAqoQaa1J8RCFA,89,Other
6UcCcyKG5MvkMJ9D5HbPGohTU2xyw7HpEKxpzZLv2rjK,89,Other
6cSfFbiTxZsTPKEGH3R2mweqn6CatehjDqgyCRyuMhV2,89,Other
6tssvnrm7gYJTLyvAHSJ2NJoSxzmoK7jYMDGgVUfTudC,89,Other
6vyMLyWkt9qfz4uxijQzwxQTzqQ4kg2SAoJxinrdRmJP,89,Other
7DFcMJDcLNJykQqnZMjjHpRyeWtGKbhjTwYr5jX5UgZH,89,Other
7tNXBd1bCvFd3iXFs9zZZdCesK54Yqw3zLn7zVrukQBN,89,Other
7uw4X9WbKRmHPLm5vE6WHbYsZLpk2sYU5qtt7ptU9c8,89,Other
81PoYX4QtiqYRdxYg5UZzB6LWPbTwSkmTKB2QPwd2Luz,89,Other
83iVay8yvfzfQ1hEv1ZkrxjRXoEPcTycA844LrixEKCU,89,Other
8M6Kprj3V2vh4ZXqdSWSgJtxZPyd1ddSVdQtjhaABn75,89,Other
8Q81zT4nLQSyAHK2MGnuoCw2sPx9A2N3mVT2fp3J7Hd4,89,Other
8Rkpu9pFs1BVRmoZcFAx9gWYou6TgqW4EysqxVK9uPNi,89,Other
8SYL9DsAp6fLD72x3LonLnDi8CrNza3LozBoi8SPSmq6,89,Other
8USjrZMFzq3mVtQBzWkdKAcsLAywsY1bvdHoUc9nWvHs,89,Other
9DMXYVhfHrmHVYJLNVKTmfyuT2BMUuQ9hnkSRAKDmVrx,89,Other
9EQAfK5w8RS1CvXNjp71tquRHSX77YerhEQwHvVbRMYW,89,Other
9GwKhf7S4EjSNFHd75naxjkzwBRYiTHhKwU7WD163k43,89,Other
9J9X2GCaNZueVqQ4QkyjeXftjEUHuRmbgTcz59jf8KWF,89,Other
9ZTR3BFvkFx3fBg9KEa3BRoxZcTfERgaZhx7xp3pNaxK,89,Other
9cgKmeScMG7M8zXhdCAivfn6eqdwKz2mK8SrMBRYjTxE,89,Other
9qWjRCwiDTYeDQik1kX2oQaBfgPP3JJuFyjzP561QnXm,89,Other
A4gjsrzmG1qjki61uyMBC6dz653WMyvx2JeSsrBueKwY,89,Other
A6W3PRcHiERtskRQAMAfQB3tKuFAbAbJ1FbZUTK5ssEp,89,Other
A8ZPW1eMseWXs2w7jyyDPtnTxcrwTxhFGMpU4BpxWuTY,89,Other
AAhayhsfZv7tLLiyvnjhkcTsGobgXXFvhp6u6JUMrg7B,89,Other
AMQbizDcwttto2T6xHnVFgrnKR8EJ9PEU4fS7z7eNPbD,89,Other
AP3dthHQDC8VCSFjy55Eo5roFJwyB8ZUxH2AhZjpE3RC,89,Other
APxpcTaPo3To6D7rvVwF7pzVEBspQQuYqN7eUcgh3kBS,89,Other
AVHM2QpXy4y2HhTPXeqmBKwFh3nBtjDnL1qpwuWFtmUX,89,Other
AXQ6m1PwDhw1PtDEiw21thXJF5Qfiw3AcHePTCU3BWef,89,Other
AYGqpDTCZZ3qhvQ3LW1kNrdecpXy14Ft7QJdVDftzcZT,89,Other
AYW7v3M4rvyfF7tz2pnvuWfqqXedw69F2jh2MDnpXuZn,89,Other
AaYo9ijLczgi7co1cN6Rc7gRqas8q4XtA9xrAUvMACQe,89,Other
AbK3hVK1YDc5xNDTSN9mGAXh9wF8kxwhmLk25q35q5NJ,89,Other
Aj8Ehq8xNJfMJWi8pAVYjAuvWFCTH8Wmq89Yj7MWJiRe,89,Other
