signer,volume,volume_category
8iQhDFEXdT56dhNX1DHGY5Hozt348pHeFBrTgCDzPVJD,104277119807,>$10M
HKuUoTdHRk9BCxsYFYPtNJ2jCB1xZddCS2Sh5oV1mjD8,102288373668,>$10M
HjFRzVx9ByxzkgoCMJNCtJxrjrD7MYBQJBwcf3RQxxEE,101983173510,>$10M
9FdGCeYDk3DqfJGAGjwKnQ6PEJC1iRWVgAetU3k8Zraj,101916119856,>$10M
A2c5YqPPUJCD3EDjKfnpVdepAhjs8ux6vczp5oFjuK6K,101560122189,>$10M
JCyLaudTcedxpbqX2qQet2Xd3M7JAweBaNQvuVNkRoLX,100751921368,>$10M
ACWghvw9YsYKP3V4sWe5VXRspvfBKp4Kx4KG4w9GJXbE,100000001498,>$10M
3jJ1MLB3HKRTh536tmVvUf364pHFdkzhPBTsJm4SUHup,99900001000,>$10M
2ronCofxXWis6xQfRMuvtcTjFGrf8uS5pNtbew9Rja4f,97690305777,>$10M
3xEWNgHG5NDGS5DwSbmVhnhMgde4Jk75KcWoeBVv4AGy,97619770475,>$10M
CM7PTFxpK7BydBcDXX8aBoRSFSA9i8Q8ghzhFYyVzZgS,97000721680,>$10M
7CGRzH9Gagyje3fNeEjUL4MknCRFkdb3cQhRQ8aZ5wgz,95017956737,>$10M
GfRXKp3TtJYkydzqG3fsB3t4Wcghq5FornN4DdR9mBik,94642640286,>$10M
2N5rBg9i1SQYh33YpnS5tAa3zNxo4FduoKG54p6KxjbC,94011381836,>$10M
3YWZbcgFbR1MEV1m18rRBsh3hVeMt4QefXWG7mAPqNg1,93930520296,>$10M
B7JVHPuxvd9muNPKmQq5wVCiUAxNbxnfHnBFhZ9N6hwW,91477227476,>$10M
5obp5RdBgypBfrakvkareoX86q1tG7KiPELpokU3No1T,91199947102,>$10M
GVUaohJJynRx32G2UsLjNdu8xeaq8cYFdGsoUgaqh3dh,89893494085,>$10M
5nQc9eCBbnHiC5CY2kqKjuSoDVaPDPKxUhGQFW5CWaej,88220504732,>$10M
DjtNPL4vjXcAmrkGxjru3RL26SDGAbVLC1ma9FRnJorh,88000037998,>$10M
ELYnngEzRNVRm4qnJFzLG3RmbH76TKSb4UZSdRjLkrLM,85766122876,>$10M
EoGUJrtBvxuEWZEG7YQTFfdnQ5NEZCY19PVKHEzv3jBF,85267251917,>$10M
3iaVqgmKhuNztoV53oAbt8WVukhDwir4qMWLeuyGq722,83250100000,>$10M
31TSXnJcjvFhYC9bju6CW77BpJJdGBq18DZiUwfFiy3G,82877698654,>$10M
G8adUFtWSV7zzfyTftkruQy25eMPxBVxJBdRZAaQoMx2,82321101384,>$10M
3bEPkcXUaYFoBsbGdHCQNyEv8mrPKZhjv2UvaRTuAifh,82205385646,>$10M
5ReG3c4NuMk4Y8sivwjz8tk6UbEAF1ERExpkR9Lb1aNs,81506258176,>$10M
CQMV5fEH56AevWy5hPDzwvB7cVLStumkAshX7t7rWenJ,80000006477,>$10M
7XhW8g3ru4yvM3apbXJoVR1S3crkR5uApa6Ry4Crev61,79238896295,>$10M
DAnH1Gm3qy8joG7tzj6PZoQ9ZikDS5nu8GYyPvbXUmMq,79091805448,>$10M
1GY8akoTH2NnNv9raaVWKn5c92wL6rG2jX6ioFvk1uF,77950001585,>$10M
8WuezBmF17oCGbQKVtr9E2VxrPpzYpDkbL2ZRwce2EY,75988330367,>$10M
9ojp9BvvbNbd8KWFCPZvtF5LkBjEhfSceAsKEAHTZVAy,75583002534,>$10M
gwhuNqeE5BPfpPi6ekbSKD1N6saHdN6yWhcPh3YDvDs,74400888970,>$10M
HhVQTF6MdLCAieoJJMzPyZfqUkxEw6vPoeZQxTvToxKh,74048499885,>$10M
6EvkhNBoXFEUq74AMPivudNG2GqdqkgZ1B4ZKDCJBqc,73752690552,>$10M
9JuKABzPttBFZL27agEqejevdK6XgdmryyaFwEtCVpVT,73746449033,>$10M
2X9LC2M7jsqUCaZZ7z57q19h8nJUh1TJrBdQMfGKatfB,73663784239,>$10M
5KK4ef5nk5UhmqV6HBKTy4hTboyC5vwwEis2mhvDTUfV,73158940507,>$10M
2cp6QfZzZ6DdWteada3FCu3aDGcDyMrNH6Qwzaueu7rF,73147076455,>$10M
